GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_000618005.3	18840978	N/A	N/A	
GCA_000618905.3	18840368	N/A	N/A	
GCA_001890285.2	22522618	N/A	N/A	
GCA_002237285.1	4894028	N/A	N/A	
GCA_003017675.2	19657798	N/A	N/A	
GCA_003018835.2	19657778	N/A	N/A	
GCA_003150815.1	6617958	N/A	N/A	
GCA_003399775.2	13433428	N/A	N/A	
GCA_003399795.2	13433408	N/A	N/A	
GCA_003399845.2	13281118	N/A	N/A	
GCA_003399885.2	13281098	N/A	N/A	
GCA_003399895.2	13281078	N/A	N/A	
GCA_003399945.2	13281038	N/A	N/A	
GCA_003400045.2	13281058	N/A	N/A	
GCA_003769125.2	13966838	N/A	N/A	
GCA_004281435.2	13966858	N/A	N/A	
GCA_007998105.1	13196848	N/A	N/A	
GCA_008027975.1	13275728	N/A	N/A	
GCA_008064935.1	13314258	N/A	N/A	
GCA_008064955.1	13314278	N/A	N/A	
GCA_008064975.1	13314298	N/A	N/A	
GCA_008086485.1	13400078	N/A	N/A	
GCA_008086505.1	13400098	N/A	N/A	
GCA_008086525.1	13400118	N/A	N/A	
GCA_008087645.1	13400998	N/A	N/A	
GCA_008383145.1	13720208	N/A	N/A	
GCA_008383225.1	13720228	N/A	N/A	
GCA_008385205.1	13720528	N/A	N/A	
GCA_008385335.1	13720608	N/A	N/A	
GCA_008385405.1	13720708	N/A	N/A	
GCA_008386375.1	13722928	N/A	N/A	
GCA_008386415.1	13722968	N/A	N/A	
GCA_008386435.1	13723008	N/A	N/A	
GCA_008802895.1	14211348	N/A	N/A	
GCA_009002845.1	14439648	N/A	N/A	
GCA_009003065.1	14439818	N/A	N/A	
GCA_009762515.1	15641088	N/A	N/A	
GCA_009866925.3	20841068	N/A	N/A	
GCA_009866945.3	20841318	N/A	N/A	
GCA_009867035.3	20841918	N/A	N/A	
GCA_009873415.1	15793458	N/A	N/A	
GCA_009873435.1	15793478	N/A	N/A	
GCA_010231855.1	16343128	N/A	N/A	
GCA_010272415.1	16390578	N/A	N/A	
GCA_010272695.1	16390898	N/A	N/A	
GCA_010272895.1	16391268	N/A	N/A	
GCA_010273135.1	16391478	N/A	N/A	
GCA_010725135.1	16871968	N/A	N/A	
GCA_011068325.1	17374928	N/A	N/A	
GCA_011068385.1	17374988	N/A	N/A	
GCA_011843745.2	20253848	N/A	N/A	
GCA_011849985.2	20291888	N/A	N/A	
GCA_012849755.1	19270028	N/A	N/A	
GCA_012934735.1	19361148	N/A	N/A	
GCA_013085905.3	20847248	N/A	N/A	
GCA_013315835.1	19996568	N/A	N/A	
GCA_013315855.1	19996588	N/A	N/A	
GCA_013315875.1	19996608	N/A	N/A	
GCA_013315915.1	19996648	N/A	N/A	
GCA_013315935.1	19996668	N/A	N/A	
GCA_013341335.1	20071518	N/A	N/A	
GCA_013341355.1	20071538	N/A	N/A	
GCA_013341375.1	20071558	N/A	N/A	
GCA_013368055.1	20127738	N/A	N/A	
GCA_013374235.2	25860168	N/A	N/A	
GCA_013374295.2	25860188	N/A	N/A	
GCA_013725375.1	20860678	N/A	N/A	
GCA_013725775.1	20861198	N/A	N/A	
GCA_013726815.1	20862518	N/A	N/A	
GCA_013727075.1	20862758	N/A	N/A	
GCA_013727815.1	20863698	N/A	N/A	
GCA_013728735.1	20864798	N/A	N/A	
GCA_013729295.1	20866318	N/A	N/A	
GCA_013729535.1	20867348	N/A	N/A	
GCA_013730915.1	20869278	N/A	N/A	
GCA_013731515.1	20869938	N/A	N/A	
GCA_013732175.1	20870788	N/A	N/A	
GCA_013735655.1	20874958	N/A	N/A	
GCA_013739975.1	20880098	N/A	N/A	
GCA_013740395.1	20880698	N/A	N/A	
GCA_013741635.1	20882258	N/A	N/A	
GCA_013741855.1	20882518	N/A	N/A	
GCA_013742135.1	20882818	N/A	N/A	
GCA_013742835.1	20883668	N/A	N/A	
GCA_013744185.1	20885258	N/A	N/A	
GCA_013745955.1	20887378	N/A	N/A	
GCA_013746875.1	20888438	N/A	N/A	
GCA_013748455.1	20890458	N/A	N/A	
GCA_013748665.1	20890798	N/A	N/A	
GCA_013749295.1	20891568	N/A	N/A	
GCA_013749975.1	20892438	N/A	N/A	
GCA_013750375.1	20892948	N/A	N/A	
GCA_013750815.1	20893528	N/A	N/A	
GCA_013751075.1	20893828	N/A	N/A	
