"sample_ID"	"stud_per"	"samp_per"	"SITE_N"
30931	"before study start"	"baseline period"	"BC Hospital Clinic of Barcelona, Barcelona, SPAIN"
35955	"baseline period"	"SOD"	"CD Cardiff University Hospital, UK"
40534	"CHX"	"wash-out/in - no. 3"	"CD Cardiff University Hospital, UK"
5515	"baseline period"	"SDD"	"AN Universitair Ziekenhuis, Antwerpen, BELGIUM"
35908	"baseline period"	"wash-out/in - no. 1"	"CD Cardiff University Hospital, UK"
5472	"baseline period"	"wash-out/in - no. 1"	"AN Universitair Ziekenhuis, Antwerpen, BELGIUM"
68960	"baseline period"	"wash-out/in - no. 1"	"LB CHU Liege, BELGIUM"
68994	"baseline period"	"wash-out/in - no. 1"	"LB CHU Liege, BELGIUM"
69013	"baseline period"	"CHX"	"LB CHU Liege, BELGIUM"
100426	"baseline period"	"SOD"	"PS Hospital de Sant Pau, Barcelona, SPAIN"
105417	"SOD"	"CHX"	"PS Hospital de Sant Pau, Barcelona, SPAIN"
105741	"wash-out/in - no. 2"	"CHX"	"PS Hospital de Sant Pau, Barcelona, SPAIN"
30933	"before study start"	"baseline period"	"BC Hospital Clinic of Barcelona, Barcelona, SPAIN"
30929	"before study start"	"baseline period"	"BC Hospital Clinic of Barcelona, Barcelona, SPAIN"
134881	"wash-out/in - no. 3"	"SDD"	"UZ Universitair Ziekenhuis, Gent, BELGIUM"
